text,label
"saya sangat senang dengan produk ini",positive
"produk ini bagus sekali",positive
"pelayanan sangat memuaskan",positive
"mantap dan keren",positive
"saya suka banget",positive
"pengiriman cepat dan barang aman",positive
"rekomendasi banget buat yang cari barang ori",positive
"kualitas bintang lima harga kaki lima",positive
"terima kasih penjual barang sampai dengan selamat",positive
"adminnya ramah dan fast respon",positive
"jos gandoz kualitasnya",positive
"nyesel beli di sini barang rusak",negative
"pengiriman lama banget kapok belanja di sini",negative
"respon penjual sangat lambat dan tidak sopan",negative
"barang tidak sesuai gambar alias bohong",negative
"kualitas sampah baru dipake langsung rusak",negative
"mending beli di tempat lain aja",negative
"ini buruk sekali",negative
"sangat mengecewakan",negative
"tidak bagus sama sekali",negative
"jelek dan tidak memuaskan",negative
"saya tidak suka ini",negative
"pelayanannya buruk",negative
"biasa saja",neutral
"tidak terlalu bagus tapi tidak buruk",neutral
"standar saja",neutral
"cukup oke",neutral
"lumayan",neutral
"barang sudah diterima sesuai pesanan",neutral
"paket sampai tadi siang",neutral
"masih dicoba semoga awet",neutral
"harga sesuai dengan kualitasnya",neutral
"sedang dalam proses pengecekan",neutral
"oke lah buat harga segini",neutral
